periodid,periodname,periodcode,perioddescription,dataid,dataname,datacode,datadescription,Kenya
202201,January 2022,202201,,nb9cfWgxYFc,Brucellosis,,,10752
202201,January 2022,202201,,AGzzhiuPrkR,MOH 706_Brucella,,Brucella test workload and results,40150
202202,February 2022,202202,,nb9cfWgxYFc,Brucellosis,,,8614
202202,February 2022,202202,,AGzzhiuPrkR,MOH 706_Brucella,,Brucella test workload and results,34069
202203,March 2022,202203,,nb9cfWgxYFc,Brucellosis,,,8780
202203,March 2022,202203,,AGzzhiuPrkR,MOH 706_Brucella,,Brucella test workload and results,37037
202204,April 2022,202204,,nb9cfWgxYFc,Brucellosis,,,7575
202204,April 2022,202204,,AGzzhiuPrkR,MOH 706_Brucella,,Brucella test workload and results,31323
202205,May 2022,202205,,nb9cfWgxYFc,Brucellosis,,,14886
202205,May 2022,202205,,AGzzhiuPrkR,MOH 706_Brucella,,Brucella test workload and results,36999
202206,June 2022,202206,,nb9cfWgxYFc,Brucellosis,,,10350
202206,June 2022,202206,,AGzzhiuPrkR,MOH 706_Brucella,,Brucella test workload and results,38840
202207,July 2022,202207,,nb9cfWgxYFc,Brucellosis,,,8717
202207,July 2022,202207,,AGzzhiuPrkR,MOH 706_Brucella,,Brucella test workload and results,36382
202208,August 2022,202208,,nb9cfWgxYFc,Brucellosis,,,8233
202208,August 2022,202208,,AGzzhiuPrkR,MOH 706_Brucella,,Brucella test workload and results,31901
202209,September 2022,202209,,nb9cfWgxYFc,Brucellosis,,,8213
202209,September 2022,202209,,AGzzhiuPrkR,MOH 706_Brucella,,Brucella test workload and results,33719
202210,October 2022,202210,,nb9cfWgxYFc,Brucellosis,,,9453
202210,October 2022,202210,,AGzzhiuPrkR,MOH 706_Brucella,,Brucella test workload and results,37557
202211,November 2022,202211,,nb9cfWgxYFc,Brucellosis,,,9413
202211,November 2022,202211,,AGzzhiuPrkR,MOH 706_Brucella,,Brucella test workload and results,37555
202212,December 2022,202212,,nb9cfWgxYFc,Brucellosis,,,8255
202212,December 2022,202212,,AGzzhiuPrkR,MOH 706_Brucella,,Brucella test workload and results,31818
202301,January 2023,202301,,nb9cfWgxYFc,Brucellosis,,,9184
202301,January 2023,202301,,AGzzhiuPrkR,MOH 706_Brucella,,Brucella test workload and results,923600
202302,February 2023,202302,,nb9cfWgxYFc,Brucellosis,,,9828
202302,February 2023,202302,,AGzzhiuPrkR,MOH 706_Brucella,,Brucella test workload and results,36009
202303,March 2023,202303,,nb9cfWgxYFc,Brucellosis,,,9710
202303,March 2023,202303,,AGzzhiuPrkR,MOH 706_Brucella,,Brucella test workload and results,38644
202304,April 2023,202304,,nb9cfWgxYFc,Brucellosis,,,8352
202304,April 2023,202304,,AGzzhiuPrkR,MOH 706_Brucella,,Brucella test workload and results,33050
202305,May 2023,202305,,nb9cfWgxYFc,Brucellosis,,,9013
202305,May 2023,202305,,AGzzhiuPrkR,MOH 706_Brucella,,Brucella test workload and results,39471
202306,June 2023,202306,,nb9cfWgxYFc,Brucellosis,,,10382
202306,June 2023,202306,,AGzzhiuPrkR,MOH 706_Brucella,,Brucella test workload and results,42329
202307,July 2023,202307,,nb9cfWgxYFc,Brucellosis,,,10153
202307,July 2023,202307,,AGzzhiuPrkR,MOH 706_Brucella,,Brucella test workload and results,43101
202308,August 2023,202308,,nb9cfWgxYFc,Brucellosis,,,9518
202308,August 2023,202308,,AGzzhiuPrkR,MOH 706_Brucella,,Brucella test workload and results,39943
202309,September 2023,202309,,nb9cfWgxYFc,Brucellosis,,,9599
202309,September 2023,202309,,AGzzhiuPrkR,MOH 706_Brucella,,Brucella test workload and results,36121
202310,October 2023,202310,,nb9cfWgxYFc,Brucellosis,,,9101
202310,October 2023,202310,,AGzzhiuPrkR,MOH 706_Brucella,,Brucella test workload and results,39965
202311,November 2023,202311,,nb9cfWgxYFc,Brucellosis,,,10719
202311,November 2023,202311,,AGzzhiuPrkR,MOH 706_Brucella,,Brucella test workload and results,35517
202312,December 2023,202312,,nb9cfWgxYFc,Brucellosis,,,7958
202312,December 2023,202312,,AGzzhiuPrkR,MOH 706_Brucella,,Brucella test workload and results,33590
202401,January 2024,202401,,nb9cfWgxYFc,Brucellosis,,,9211
202401,January 2024,202401,,AGzzhiuPrkR,MOH 706_Brucella,,Brucella test workload and results,39396
202402,February 2024,202402,,nb9cfWgxYFc,Brucellosis,,,9980
202402,February 2024,202402,,AGzzhiuPrkR,MOH 706_Brucella,,Brucella test workload and results,39525
202403,March 2024,202403,,nb9cfWgxYFc,Brucellosis,,,1940
202403,March 2024,202403,,AGzzhiuPrkR,MOH 706_Brucella,,Brucella test workload and results,7509
