"","date","human_incidence","animal_incidence"
"1",2014-01-01,0.1852,0
"2",2014-02-01,0.19,0
"3",2014-03-01,0.2179,0
"4",2014-04-01,0.1915,0
"5",2014-05-01,0.2052,0
"6",2014-06-01,0.1968,0
"7",2014-07-01,0.2254,0
"8",2014-08-01,0.2424,0
"9",2014-09-01,0.1879,0
"10",2014-10-01,0.2169,0.0152
"11",2014-11-01,0.1599,0.0074
"12",2014-12-01,0.1784,0
"13",2015-01-01,0.3959,0
"14",2015-02-01,0.5354,0.0987
"15",2015-03-01,0.6144,0.2773
"16",2015-04-01,0.5553,0
"17",2015-05-01,0.5891,0
"18",2015-06-01,0.7107,0
"19",2015-07-01,0.7801,0
"20",2015-08-01,0.7093,0.0517
"21",2015-09-01,0.6485,0
"22",2015-10-01,0.71,0
"23",2015-11-01,0.6159,0
"24",2015-12-01,0.6942,0.0149
"25",2016-01-01,0.8202,0
"26",2016-02-01,0.9828,0
"27",2016-03-01,0.9446,0
"28",2016-04-01,0.8337,0
"29",2016-05-01,0.924,0
"30",2016-06-01,1.0547,0
"31",2016-07-01,1.1467,0
"32",2016-08-01,1.1723,0.0295
"33",2016-09-01,1.2148,0
"34",2016-10-01,1.1749,0
"35",2016-11-01,0.9976,0
"36",2016-12-01,0.7169,0
"37",2017-01-01,0.9534,0.0074
"38",2017-02-01,1.0018,0
"39",2017-03-01,1.1693,0
"40",2017-04-01,1.0287,0
"41",2017-05-01,1.0427,0
"42",2017-06-01,0.885,0
"43",2017-07-01,0.8324,0
"44",2017-08-01,0.78,0
"45",2017-09-01,0.7668,0
"46",2017-10-01,0.8802,0
"47",2017-11-01,0.9931,0.0812
"48",2017-12-01,0.9705,0
"49",2018-01-01,1.1924,0.0074
"50",2018-02-01,1.1697,0.0074
"51",2018-03-01,1.1183,0.0074
"52",2018-04-01,1.0514,0.0074
"53",2018-05-01,1.2494,0
"54",2018-06-01,1.2496,0.0221
"55",2018-07-01,1.3581,0.3259
"56",2018-08-01,1.1768,0
"57",2018-09-01,1.1821,0.0148
"58",2018-10-01,1.2693,0.0148
"59",2018-11-01,1.1203,0.0074
"60",2018-12-01,0.9713,0
"61",2019-01-01,1.2033,0.0074
"62",2019-02-01,1.0953,0.0517
"63",2019-03-01,1.2893,0.1037
"64",2019-04-01,1.2349,0
"65",2019-05-01,1.2205,0.2584
"66",2019-06-01,1.1667,0.0221
"67",2019-07-01,1.3882,0.1852
"68",2019-08-01,1.2523,0.0369
"69",2019-09-01,1.3348,0.1259
"70",2019-10-01,1.4273,0.0074
"71",2019-11-01,1.0841,0.0738
"72",2019-12-01,1.0866,0.0074
"73",2020-01-01,1.2383,0.0148
"74",2020-02-01,1.2393,0
"75",2020-03-01,1.3186,0.1704
"76",2020-04-01,0.9128,0.0886
"77",2020-05-01,1.0012,0.1333
"78",2020-06-01,1.1022,0.0074
"79",2020-07-01,1.1464,0.1698
"80",2020-08-01,1.1086,0.096
"81",2020-09-01,1.1229,0
"82",2020-10-01,1.2089,0.3248
"83",2020-11-01,1.134,0.0664
"84",2020-12-01,0.8348,0.1033
"85",2021-01-01,0.9003,0.2838
"86",2021-02-01,1.0464,0.0664
"87",2021-03-01,1.2236,0.2215
"88",2021-04-01,1.1382,0.1255
"89",2021-05-01,1.052,0.2215
"90",2021-06-01,1.1249,0.4355
"91",2021-07-01,1.0509,0
"92",2021-08-01,1.1143,0
"93",2021-09-01,1.2274,0
"94",2021-10-01,1.0155,0
"95",2021-11-01,1.0685,0
"96",2021-12-01,1.0794,0.2215
