County,pop2010,pop2011,pop2012,pop2013,pop2014,pop2015,pop2016,pop2017,pop2018,pop2019,pop2020,pop2021,pop2022,pop2023,pop2024,pop2025
Baringo,567516,588478,610182,632588,655641,679256,624675,638401,652428,666763,687000,702000,718000,733000,749000,764000
Bomet,745617,773157,801671,831115,861397,892429,840445,852033,863780,875689,902000,914000,927000,940000,953000,965000
Bungoma,1406776,1428835,1451892,1475995,1500990,1526655,1589234,1615896,1643006,1670570,1700000,1729000,1758000,1787000,1816000,1845000
Busia,761065,772999,785473,798514,812036,825921,842672,859343,876344,893681,914000,932000,950000,969000,987000,1006000
Elgeyo Marakwet,377942,391900,406355,421282,436631,452360,435128,441485,447935,454480,474000,481000,488000,495000,502000,509000
Embu,528000,532852,537906,543158,548569,554079,589986,596126,602330,608599,629000,635000,642000,648000,655000,662000
Garissa,387995,394804,401806,409007,416389,423931,781497,800960,820908,841353,861000,883000,905000,927000,949000,971000
Homa Bay,984293,1006756,1029823,1053465,1077554,1101901,1067994,1088901,1110217,1131950,1162000,1185000,1208000,1232000,1255000,1278000
Isiolo,146567,147928,149345,150817,152332,153875,249625,255606,261731,268002,294000,301000,309000,316000,323000,330000
Kajiado,701919,727849,754693,782409,810918,840127,1038952,1064609,1090900,1117840,1179000,1209000,1238000,1268000,1298000,1328000
Kakamega,1698576,1725211,1753050,1782152,1812330,1843320,1769074,1801318,1834149,1867579,1897000,1932000,1967000,2002000,2038000,2073000
Kericho,768350,796729,826112,856454,887659,919637,866009,877771,889693,901777,917000,930000,942000,955000,967000,980000
Kiambu,1660366,1692651,1726128,1760692,1795999,1831800,2279038,2324363,2370589,2417735,2501000,2552000,2602000,2653000,2704000,2754000
Kilifi,1133208,1175021,1218024,1262127,1307185,1353042,1372066,1398783,1426020,1453787,1489000,1518000,1548000,1577000,1607000,1637000
Kirinyaga,540247,550745,561642,572889,584377,596030,595338,600321,605345,610411,637000,642000,648000,653000,658000,664000
Kisii,1176791,1203648,1231223,1259489,1288290,1317407,1231096,1242904,1254825,1266860,1307000,1319000,1332000,1345000,1358000,1370000
Kisumu,989514,1012102,1035287,1059053,1083268,1107755,1097635,1116618,1135929,1155574,1186000,1207000,1228000,1248000,1269000,1290000
Kitui,1035831,1045268,1055104,1065329,1075866,1086599,1095773,1109082,1122553,1136187,1186000,1201000,1215000,1230000,1244000,1259000
Kwale,663906,688398,713591,739435,765831,792698,806638,826219,846276,866820,879000,901000,923000,944000,966000,988000
Laikipia,407658,422718,438309,454412,470965,487934,488662,498431,508396,518560,529000,539000,550000,561000,572000,583000
Lamu,103716,107546,111484,115520,119641,123842,133106,136617,140221,143920,155000,159000,163000,167000,172000,176000
Machakos,1123672,1134005,1144770,1155957,1167480,1179215,1378445,1392791,1407286,1421932,1442000,1457000,1472000,1488000,1503000,1518000
Makueni,904725,913015,921652,930630,939879,949298,955128,965849,976690,987653,1008000,1019000,1031000,1042000,1054000,1065000
Mandera,638766,649970,661504,673356,685510,697922,802280,823442,845163,867457,887000,911000,935000,959000,983000,1007000
Marsabit,297817,300589,303474,306471,309557,312698,428126,438429,448980,459785,480000,491000,503000,515000,527000,539000
Meru,1387275,1400032,1413323,1427135,1441361,1455849,1488019,1507007,1526238,1545714,1565000,1586000,1606000,1626000,1646000,1666000
Migori,936675,958055,980002,1002499,1025422,1048602,1037647,1063272,1089530,1116436,1147000,1176000,1205000,1234000,1263000,1292000
Mombasa,959187,994575,1030973,1068307,1106444,1145259,1131018,1156224,1181991,1208333,1228000,1256000,1284000,1312000,1340000,1368000
Murang'a,964170,982921,1002354,1022427,1042929,1063721,1023084,1034149,1045334,1056640,1077000,1088000,1100000,1112000,1124000,1136000
Nairobi,3144918,3351315,3563473,3781394,4004400,4232087,4180438,4251437,4323642,4397073,4516000,4594000,4672000,4750000,4828000,4906000
Nakuru,1637474,1697951,1760571,1825229,1891739,1959880,2027580,2071496,2116363,2162202,2202000,2251000,2299000,2348000,2397000,2445000
Nandi,769022,797427,826838,857207,888435,920445,843359,857246,871362,885711,906000,921000,936000,951000,967000,982000
Narok,868770,900860,934085,968390,1003672,1039837,1061997,1093039,1124989,1157873,1178000,1213000,1249000,1284000,1320000,1355000
Nyamira,610976,624921,639238,653914,668863,683979,595100,598572,602064,605576,646000,650000,654000,658000,661000,665000
Nyandarua,610017,621875,634172,646876,659848,673000,602962,614515,626289,638289,657000,670000,683000,696000,708000,721000
Nyeri,709595,723392,737704,752469,767560,782864,735724,743456,751269,759164,810000,818000,827000,835000,844000,853000
Samburu,228762,237212,245962,254997,264284,273804,285159,293313,301700,310327,320000,330000,339000,348000,358000,367000
Siaya,860216,879853,900009,920671,941724,963007,940223,957555,975206,993183,1003000,1022000,1041000,1059000,1078000,1097000
Taita Taveta,290789,301516,312550,323867,334042,347195,328355,332410,336515,340671,351000,355000,360000,364000,368000,373000
Tana River,245301,254348,263654,273205,282958,292885,292295,299974,307855,315943,326000,335000,344000,353000,361000,370000
Tharaka Nithi,373672,377099,380669,384379,388202,392094,380691,384808,388970,393177,403000,408000,412000,416000,421000,425000
Trans Nzoia,836332,867219,899200,932223,966197,1001005,935816,953649,971822,990341,1010000,1030000,1049000,1069000,1089000,1108000
Turkana,873575,905842,939247,973742,1009225,1045579,857327,879942,903153,926976,946000,972000,997000,1023000,1048000,1074000
Uasin Gishu,913027,946757,981669,1017723,1054805,1092803,1094446,1116896,1139806,1163186,1183000,1208000,1233000,1257000,1282000,1307000
Vihiga,567387,576283,585582,595301,605379,615734,575270,580143,585057,590013,610000,615000,620000,626000,631000,636000
Wajir,412210,419438,426883,434524,442371,450385,721450,740861,760794,781263,804000,826000,848000,871000,893000,915000
West Pokot,523709,543054,563087,583767,605033,626832,579888,593357,607139,621241,631000,646000,661000,676000,691000,706000
