"date","county","human_incidence","animal_incidence","animal_cases","hum_cases"
2014-10-01,"Uasin Gishu",0.5805,1.8371,2,610
2014-11-01,"Nyeri",0.0069,1.1745,1,5
2015-02-01,"Kirinyaga",0.0017,3.9994,2,1
2015-02-01,"Nyeri",0.1483,12.92,11,108
2015-03-01,"Garissa",0.2649,0.0566,1,202
2015-03-01,"Mandera",0.4785,1.1345,23,374
2015-03-01,"Mombasa",0.009,65.0838,5,10
2015-03-01,"Uasin Gishu",1.2728,7.3482,8,1365
2015-08-01,"Kilifi",0.0156,4.1805,7,21
2015-12-01,"Garissa",1.002,0.1131,2,764
2016-08-01,"Tana River",0.2566,1.4662,4,75
2017-01-01,"Siaya",0.9712,0.8032,1,930
2017-11-01,"Garissa",1.457,0.5656,10,1167
2017-11-01,"Nakuru",1.6148,0.4407,1,3345
2018-01-01,"Siaya",0.4297,0.8032,1,419
2018-02-01,"Siaya",0.2399,0.8032,1,234
2018-03-01,"Siaya",0.3004,0.8032,1,293
2018-04-01,"Bomet",0.6634,1.0523,1,573
2018-06-01,"Bomet",1.1936,1.0523,1,1031
2018-06-01,"Nakuru",1.7922,0.4407,1,3793
2018-06-01,"Siaya",1.0008,0.8032,1,976
2018-07-01,"Bomet",1.16,3.1568,3,1002
2018-07-01,"Kilifi",0.0463,8.361,14,66
2018-07-01,"Kwale",0.2044,14.658,23,173
2018-07-01,"Narok",2.1902,0.3914,4,2464
2018-09-01,"Makueni",0.4863,0.3969,1,475
2018-09-01,"Tharaka Nithi",1.558,1.3933,1,606
2018-10-01,"Bomet",1.27,1.0523,1,1097
2018-10-01,"Meru",0.5104,0.6259,1,779
2018-11-01,"Siaya",0.483,0.8032,1,471
2019-01-01,"Bomet",1.3978,1.0523,1,1224
2019-02-01,"Bomet",1.1637,1.0523,1,1019
2019-02-01,"Makueni",0.4742,0.7939,2,468.3
2019-02-01,"Wajir",0.4224,0.2691,4,330
2019-03-01,"Makueni",0.3503,4.7632,12,346
2019-03-01,"Nakuru",2.0414,0.4407,1,4414
2019-03-01,"Tharaka Nithi",1.8618,1.3933,1,732
2019-05-01,"Baringo",1.5808,4.3468,15,1054
2019-05-01,"Kericho",2.4163,1.3522,1,2179
2019-05-01,"Nakuru",2.1251,7.0514,16,4595
2019-05-01,"Nandi",6.8239,1.329,1,6044
2019-05-01,"Tharaka Nithi",1.8668,2.7866,2,734
2019-06-01,"Baringo",1.4188,0.2898,1,946
2019-06-01,"Makueni",0.3139,0.3969,1,310
2019-06-01,"Nandi",5.836,1.329,1,5169
2019-07-01,"Baringo",2.0817,1.7387,6,1388
2019-07-01,"Bomet",1.5576,3.1568,3,1364
2019-07-01,"Mandera",0.9891,0.6906,14,858
2019-07-01,"Nandi",5.0479,1.329,1,4471
2019-07-01,"Tharaka Nithi",2.1339,1.3933,1,839
2019-08-01,"Bomet",1.7632,1.0523,1,1544
2019-08-01,"Mandera",1.1205,0.0987,2,972
2019-08-01,"Tharaka Nithi",1.5337,2.7866,2,603
2019-09-01,"Baringo",2.7521,0.2898,1,1835
2019-09-01,"Makueni",0.2025,0.3969,1,200
2019-09-01,"Mandera",0.875,0.7399,15,759
2019-10-01,"Kisii",3.4897,1.7556,1,4421
2019-11-01,"Kisii",3.0769,1.7556,1,3898
2019-11-01,"Makueni",0.3341,0.3969,1,330
2019-11-01,"Migori",1.2415,0.9322,1,1386
2019-11-01,"Murang'a",0.1069,5.6774,5,113
2019-11-01,"Siaya",0.5095,0.8032,1,506
2019-11-01,"Tharaka Nithi",1.7066,1.3933,1,671
2019-12-01,"Busia",0.7262,1.6096,1,649
2020-01-01,"Isiolo",2.3129,0.2169,1,680
2020-01-01,"Kisii",3.1897,1.7556,1,4169
2020-03-01,"Bungoma",2.1947,1.8538,2,3731
2020-03-01,"Murang'a",0.1012,23.8452,21,109
2020-04-01,"Siaya",0.4656,0.8032,1,467
2020-04-01,"Turkana",1.1829,1.5146,11,1119
2020-05-01,"Turkana",1.1321,2.4784,18,1071
2020-06-01,"Turkana",1.4968,0.1377,1,1416
2020-07-01,"Embu",0.8156,1.1037,1,513
2020-07-01,"Machakos",0.3578,0.8619,2,516
2020-07-01,"Tana River",0.6595,4.7652,13,215
2020-07-01,"Turkana",1.0592,0.9638,7,1002
2020-08-01,"Makueni",0.25,0.3969,1,252
2020-08-01,"Samburu",0.5844,2.4735,8,187
2020-08-01,"Turkana",1.3985,0.5507,4,1323
2020-10-01,"Embu",1.159,1.1037,1,729
2020-10-01,"Kitui",0.8069,0.5479,2,957
2020-10-01,"Machakos",0.5097,0.4309,1,735
2020-10-01,"Makueni",0.3165,0.3969,1,319
2020-10-01,"Turkana",1.5899,5.3698,39,1504
2020-11-01,"Garissa",1.0848,0.1131,2,934
2020-11-01,"Kitui",0.8061,0.5479,2,956
2020-11-01,"Taita Taveta",0.4444,1.3658,1,156
2020-11-01,"Trans Nzoia",2.8693,1.4367,1,2898
2020-11-01,"West Pokot",5.6339,0.9623,3,3555
2020-12-01,"Taita Taveta",0.2422,1.3658,1,85
2020-12-01,"Trans Nzoia",1.8386,1.4367,1,1857
2020-12-01,"Turkana",1.5011,0.1377,1,1420
2020-12-01,"West Pokot",4.6022,3.5286,11,2904
2021-01-01,"Machakos",0.4159,0.4309,1,606
2021-01-01,"Mandera",0.3469,0.5919,12,316
2021-01-01,"Trans Nzoia",1.868,1.4367,1,1924
2021-01-01,"Turkana",1.2449,3.1668,23,1210
2021-01-01,"West Pokot",5.4381,0.3208,1,3513
2021-02-01,"Kakamega",0.4006,2.7856,3,774
2021-02-01,"Machakos",0.3644,0.4309,1,531
2021-02-01,"Nakuru",1.594,0.8814,2,3588
2021-02-01,"Nyamira",1.3154,5.8566,2,855
2021-02-01,"Turkana",1.1224,0.1377,1,1091
2021-03-01,"Garissa",1.0227,0.8484,15,903
2021-03-01,"Kakamega",0.4498,0.9285,1,869
2021-03-01,"Kitui",1.1016,0.2739,1,1323
2021-03-01,"Machakos",0.3466,0.4309,1,505
2021-03-01,"Samburu",2.8091,3.0918,10,927
2021-03-01,"Trans Nzoia",2.6515,1.4367,1,2731
2021-03-01,"Vihiga",0.8358,3.0559,1,514
2021-04-01,"Kakamega",0.4451,1.8571,2,860
2021-04-01,"Laikipia",0.757,3.8634,10,408
2021-04-01,"Nyamira",1.9338,2.9283,1,1257
2021-04-01,"Turkana",1.1163,0.2754,2,1085
2021-04-01,"Vihiga",0.7122,3.0559,1,438
2021-04-01,"West Pokot",4.9025,0.3208,1,3167
2021-05-01,"Bungoma",3.2684,0.9269,1,5651
2021-05-01,"Busia",0.618,1.6096,1,576
2021-05-01,"Kajiado",0.9132,0.1938,1,1104
2021-05-01,"Turkana",1.2366,3.7176,27,1202
2021-06-01,"Bomet",1.3206,2.1046,2,1207
2021-06-01,"Nyamira",1.5431,55.6379,19,1003
2021-06-01,"Turkana",1.3333,5.2321,38,1296
2021-12-01,"Bungoma",3.7617,0.9269,1,6504
2021-12-01,"Kitui",0.8918,0.8218,3,1071
2021-12-01,"Marsabit",1.0163,6.837,25,499
2021-12-01,"Nyamira",1.4323,2.9283,1,931
