county,eco_zone
Baringo,Agropastoral;Farming
Bomet,Farming
Bungoma,Farming
Busia,Fishing; Farming
Elgeiyo Marakwet,Agropastoral;Farming
Embu,Farming
Garissa,Pastoral;Riverine
Homa Bay,Fishing ; Farming
Isiolo,Pastoral;Farming
Kajiado,Agropastoral;pastoral
Kakamega,Farming
Kericho,Farming
Kiambu,Agropastoral;Farming
Kilifi,Farming
Kirinyaga,Farming
Kisii,Farming
Kisumu,Fishing ; Farming
Kitui,Farming
Kwale,Farming
Laikipia,Agropastoral
Lamu,Pastoral;Farming
Machakos,Farming
Makueni,Pastoral;Farming
Mandera,Agropastoral;pastoral
Marsabit,Pastoral;Farming
Meru,Pastoral;Farming
Migori,Fishing ; Farming
Mombasa,Farming
Murang'a,Farming
Nairobi,Agropastoral;Farming
Nakuru,Farming
Nandi,Farming
Narok,Agropastoral;pastoral
Nyamira,Farming
Nyandarua,Farming
Nyeri,Farming
Samburu,Agropastoral;pastoral
Siaya,Fishing ; Farming
Taita Taveta,Pastoral;Farming
Tana River,Pastoral;Farming
Tharaka Nithi,Farming
Trans Nzoia,Farming
Turkana,Pastoral
Uasin Gishu,Agropastoral;Farming
Vihiga,Farming
Wajir,Agropastoral;pastoral
West Pokot,Agropastoral;pastoral
