variable,estimate,std.error,statistic,p.value,conf.low,conf.high,lag,r_squared,AIC,adj_r_squared,significance
(Intercept),6.091,11.875,0.513,0.609,-13.443,25.626,0,0.0555355590502754,1036.19175081019,0.018,Not Significant
Camel incidence,-13.271,27.021,-0.491,0.624,-57.721,31.18,0,0.0555355590502754,1036.19175081019,0.018,Not Significant
Sheep incidence,-156.511,77.107,-2.03,0.045,-283.353,-29.67,0,0.0555355590502754,1036.19175081019,0.018,Significant
Cattle incidence,24.298,21.59,1.125,0.263,-11.218,59.813,0,0.0555355590502754,1036.19175081019,0.018,Not Significant
Goat Incidence,24.558,35.253,0.697,0.488,-33.434,82.549,0,0.0555355590502754,1036.19175081019,0.018,Not Significant
(Intercept),5.6,11.939,0.469,0.64,-14.038,25.239,1,0.063794274932912,1026.68115247901,0.027,Not Significant
Camel incidence,0.504,27.066,0.019,0.985,-44.019,45.027,1,0.063794274932912,1026.68115247901,0.027,Not Significant
Sheep incidence,-7.708,77.283,-0.1,0.921,-134.839,119.423,1,0.063794274932912,1026.68115247901,0.027,Not Significant
Cattle incidence,-55.345,21.603,-2.562,0.012,-90.882,-19.809,1,0.063794274932912,1026.68115247901,0.027,Significant
Goat Incidence,28.163,35.272,0.798,0.426,-29.859,86.186,1,0.063794274932912,1026.68115247901,0.027,Not Significant
(Intercept),5.574,12.307,0.453,0.652,-14.671,25.819,2,0.0218041860496574,1022.67549867104,-0.017,Not Significant
Camel incidence,-2.661,27.991,-0.095,0.924,-48.706,43.384,2,0.0218041860496574,1022.67549867104,-0.017,Not Significant
Sheep incidence,110.613,81.399,1.359,0.177,-23.289,244.515,2,0.0218041860496574,1022.67549867104,-0.017,Not Significant
Cattle incidence,13.035,22.499,0.579,0.564,-23.976,50.046,2,0.0218041860496574,1022.67549867104,-0.017,Not Significant
Goat Incidence,-17.479,38.151,-0.458,0.648,-80.237,45.279,2,0.0218041860496574,1022.67549867104,-0.017,Not Significant
(Intercept),5.644,12.446,0.453,0.651,-14.831,26.118,3,0.0190552955885232,1014.28871423896,-0.021,Not Significant
Camel incidence,24.093,28.165,0.855,0.394,-22.239,70.425,3,0.0190552955885232,1014.28871423896,-0.021,Not Significant
Sheep incidence,-14.351,81.973,-0.175,0.861,-149.197,120.495,3,0.0190552955885232,1014.28871423896,-0.021,Not Significant
Cattle incidence,10.547,22.722,0.464,0.644,-26.83,47.925,3,0.0190552955885232,1014.28871423896,-0.021,Not Significant
Goat Incidence,19.865,39.388,0.504,0.615,-44.929,84.659,3,0.0190552955885232,1014.28871423896,-0.021,Not Significant
(Intercept),6.287,12.408,0.507,0.613,-14.123,26.698,4,0.0447566760702207,1002.91057334433,0.006,Not Significant
Camel incidence,10.023,27.989,0.358,0.721,-36.019,56.066,4,0.0447566760702207,1002.91057334433,0.006,Not Significant
Sheep incidence,-51.373,81.327,-0.632,0.529,-185.156,82.41,4,0.0447566760702207,1002.91057334433,0.006,Not Significant
Cattle incidence,16.807,22.925,0.733,0.465,-20.905,54.518,4,0.0447566760702207,1002.91057334433,0.006,Not Significant
Goat Incidence,-67.529,39.077,-1.728,0.087,-131.812,-3.247,4,0.0447566760702207,1002.91057334433,0.006,Significant
(Intercept),5.622,12.669,0.444,0.658,-15.219,26.462,5,0.0237749253984059,996.489875093024,-0.016,Not Significant
Camel incidence,-33.967,28.527,-1.191,0.237,-80.895,12.961,5,0.0237749253984059,996.489875093024,-0.016,Not Significant
Sheep incidence,-5.449,82.751,-0.066,0.948,-141.574,130.676,5,0.0237749253984059,996.489875093024,-0.016,Not Significant
Cattle incidence,18.696,23.549,0.794,0.429,-20.042,57.434,5,0.0237749253984059,996.489875093024,-0.016,Not Significant
Goat Incidence,12.124,39.883,0.304,0.762,-53.483,77.731,5,0.0237749253984059,996.489875093024,-0.016,Not Significant
(Intercept),5.331,12.545,0.425,0.672,-15.305,25.968,6,0.0612738945364541,983.856928009106,0.022,Not Significant
Camel incidence,-40.935,28.118,-1.456,0.149,-87.19,5.319,6,0.0612738945364541,983.856928009106,0.022,Not Significant
Sheep incidence,-43.093,81.721,-0.527,0.599,-177.524,91.338,6,0.0612738945364541,983.856928009106,0.022,Not Significant
Cattle incidence,-37.846,23.21,-1.631,0.106,-76.028,0.335,6,0.0612738945364541,983.856928009106,0.022,Not Significant
Goat Incidence,65.6,39.402,1.665,0.099,0.784,130.415,6,0.0612738945364541,983.856928009106,0.022,Significant
